Failed to initialize disk cache, falling back to memory-only cache: [Errno 122] Cache directory "/home/yzheng/.dspy_cache/000" does not exist and could not be created
2026-05-12 11:13:04,608 INFO root | progress: 5/100 (37.3s, 7.5s/q)
2026-05-12 11:13:09,911 INFO root | progress: 10/100 (42.6s, 4.3s/q)
2026-05-12 11:13:13,459 INFO root | progress: 15/100 (46.1s, 3.1s/q)
2026-05-12 11:13:19,453 INFO root | progress: 20/100 (52.1s, 2.6s/q)
2026-05-12 11:13:38,947 INFO root | progress: 25/100 (71.6s, 2.9s/q)
2026-05-12 11:13:46,921 INFO root | progress: 30/100 (79.6s, 2.7s/q)
2026-05-12 11:13:58,148 INFO root | progress: 35/100 (90.8s, 2.6s/q)
2026-05-12 11:14:14,076 INFO root | progress: 40/100 (106.8s, 2.7s/q)
2026-05-12 11:14:25,534 INFO root | progress: 45/100 (118.2s, 2.6s/q)
2026-05-12 11:14:31,994 INFO root | progress: 50/100 (124.7s, 2.5s/q)
2026-05-12 11:14:40,607 INFO root | progress: 55/100 (133.3s, 2.4s/q)
2026-05-12 11:14:49,212 INFO root | progress: 60/100 (141.9s, 2.4s/q)
2026-05-12 11:15:02,996 INFO root | progress: 65/100 (155.7s, 2.4s/q)
2026-05-12 11:15:11,966 INFO root | progress: 70/100 (164.7s, 2.4s/q)
2026-05-12 11:15:36,300 INFO root | progress: 75/100 (189.0s, 2.5s/q)
2026-05-12 11:15:41,837 INFO root | progress: 80/100 (194.5s, 2.4s/q)
2026-05-12 11:15:51,257 INFO root | progress: 85/100 (203.9s, 2.4s/q)
2026-05-12 11:15:57,628 INFO root | progress: 90/100 (210.3s, 2.3s/q)
2026-05-12 11:16:13,249 INFO root | progress: 95/100 (225.9s, 2.4s/q)
2026-05-12 11:16:52,526 INFO root | progress: 100/100 (265.2s, 2.7s/q)
2026-05-12 11:16:52,526 INFO root | done: 100 predictions written to /local/yzheng/pnair/workspace/adaptive-mas/results/amas_pro/orch_v9_pilot100_20260512_1112/2wiki/predictions.jsonl
