2026-04-30 13:32:58,715 INFO root | progress: 5/100 (44.1s, 8.8s/q)
2026-04-30 13:33:28,792 INFO root | progress: 10/100 (74.2s, 7.4s/q)
2026-04-30 13:33:59,409 INFO root | progress: 15/100 (104.8s, 7.0s/q)
2026-04-30 13:34:24,326 INFO root | progress: 20/100 (129.7s, 6.5s/q)
2026-04-30 13:34:47,688 INFO root | progress: 25/100 (153.1s, 6.1s/q)
2026-04-30 13:35:24,503 INFO root | progress: 30/100 (189.9s, 6.3s/q)
2026-04-30 13:35:53,572 INFO root | progress: 35/100 (219.0s, 6.3s/q)
2026-04-30 13:36:09,725 INFO root | progress: 40/100 (235.1s, 5.9s/q)
2026-04-30 13:36:46,831 INFO root | progress: 45/100 (272.2s, 6.0s/q)
2026-04-30 13:37:12,026 INFO root | progress: 50/100 (297.4s, 5.9s/q)
2026-04-30 13:38:14,924 INFO root | progress: 55/100 (360.3s, 6.6s/q)
2026-04-30 13:38:44,655 INFO root | progress: 60/100 (390.1s, 6.5s/q)
2026-04-30 13:39:31,012 INFO root | progress: 65/100 (436.4s, 6.7s/q)
2026-04-30 13:40:27,875 INFO root | progress: 70/100 (493.3s, 7.0s/q)
2026-04-30 13:41:02,578 INFO root | progress: 75/100 (528.0s, 7.0s/q)
2026-04-30 13:41:58,949 INFO root | progress: 80/100 (584.4s, 7.3s/q)
2026-04-30 13:42:54,855 INFO root | progress: 85/100 (640.3s, 7.5s/q)
2026/04/30 13:43:49 WARNING dspy.clients.lm: LM response was truncated due to exceeding max_tokens=4096. You can inspect the latest LM interactions with `dspy.inspect_history()`. To avoid truncation, consider passing a larger max_tokens when setting up dspy.LM. You may also consider increasing the temperature (currently 0.6)  if the reason for truncation is repetition.
2026-04-30 13:44:06,880 INFO root | progress: 90/100 (712.3s, 7.9s/q)
2026-04-30 13:44:59,658 INFO root | progress: 95/100 (765.1s, 8.1s/q)
2026-04-30 13:46:36,797 INFO root | progress: 100/100 (862.2s, 8.6s/q)
2026-04-30 13:46:36,798 INFO root | done: 100 predictions written to results/amas_v2_qwen3_8b_think_4omini_stratified100/predictions.jsonl
